ID,TacticalActor
1,Abdallah Azzam Brigades
2,Abu Sayyaf Group (ASG)
3,Al-Aqsa Martyrs Brigade (AAMB)
4,al-Ashtar Brigades
5,"al-Mulathamun Battalion, aka al-Murabitoun"
6,"al-Nusrah Front, aka Hay’at Tahrir al-Sham (ANF/HTS)"
7,al-Qa’ida (AQ)
8,al-Qa’ida in the Arabian Peninsula (AQAP)
9,al-Qa’ida in the Indian Subcontinent (AQIS)
10,al-Qa’ida in the Islamic Maghreb (formerly Salafist Group for Call and Combat)
11,al-Shabaab
12,Ansar al-Dine (AAD)
13,Ansar al-Islam (AAI)
14,Ansar al-Shari’a in Benghazi
15,Ansar al-Shari’a in Darnah
16,Ansar al-Shari’a in Tunisia
17,Ansaru
18,Army of Islam (AOI)
19,Asa’ib Ahl al-Haq (AAH)
20,Asbat al-Ansar (AAA)
21,Boko Haram
22,Communist Party of the Philippines/New People’s Army (CPP/NPA)
23,Continuity Irish Republican Army (CIRA)
24,HAMAS
25,Haqqani Network (HQN)
26,Harakat Sawa’d Misr (HASM)
27,Harakat ul-Jihad-i-Islami (HUJI)
28,Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B)
29,Harakat ul-Mujahidin (HUM)
30,Hizballah
31,Hizbul Mujahideen (HM)
32,Indian Mujahedeen (IM)
33,ISIS (formerly al-Qa’ida in Iraq)
34,ISIS in the Greater Sahara (ISIS-GS)
35,ISIS-Bangladesh
36,ISIS-DRC
37,ISIS-Libya
38,ISIS-Mozambique
39,ISIS-Philippines
40,ISIS-Sinai Province (formerly Ansar Bayt al-Maqdis)
41,ISIS-West Africa
42,Islamic Jihad Union (IJU)
43,Islamic Movement of Uzbekistan (IMU)
44,Islamic Revolutionary Guard Corps (IRGC)
45,Islamic State’s Khorasan Province (ISIS-K)
46,Jaish-e-Mohammed (JEM)
47,Jama’at Nusrat al-Islam wal-Muslimin (JNIM)
48,Jaysh al-Adl (formerly Jundallah)
49,Jaysh Rijal al-Tariq al Naqshabandi (JRTN)
50,Jemaah Anshorut Tauhid (JAT)
51,Jemaah Islamiya (JI)
52,Kata’ib Hizballah (KH)
53,Kurdistan Workers Party (PKK)
54,Lashkar i Jhangvi (LJ)
55,Lashkar-e-Tayyiba (LeT)
56,Liberation Tigers of Tamil Eelam (LTTE)
57,National Liberation Army (ELN)
58,New Irish Republican Army (formerly Real IRA)
59,"— New IRA Amendment (June 30, 2023)"
60,Palestine Islamic Jihad (PIJ)
61,Palestine Liberation Front (PLF)
62,PFLP-General Command (PFLP-GC)
63,Popular Front for the Liberation of Palestine (PFLP)
64,Revolutionary Armed Forces of Colombia – People’s Army (FARC-EP)
65,Revolutionary People’s Liberation Party/Front (DHKP/C)
66,Revolutionary Struggle (RS)
67,Segunda Marquetalia
68,"Shining Path (Sendero Luminoso, SL)"
69,Tehrik-e Taliban Pakistan (TTP)
70,Lone actor
71,State actor
72,Not listed (add in outline)
73,Hay'at Tahrir al-Sham
